Exposure,Outcome,Confidence_Sum,Confidence_Mean,Confidence_Direction,Direction
4238738,4052648,6.84,6.84,6.84,Decrease
4238738,4306934,6.84,6.84,6.84,Decrease
4241216,4310996,7.08,3.54,7.08,Increase
4242843,255848,6.84,6.84,6.84,Increase
4242843,443432,0.51,0.51,0.51,Decrease
4242843,81902,0.51,0.51,0.51,Increase
4249447,316866,4.08,4.08,4.08,Increase
4249447,37150978,4.08,4.08,4.08,Decrease
4249447,4024366,2.93,2.93,2.93,Increase
4249447,4027011,2.93,2.93,2.93,Increase
4249447,4038720,4.08,4.08,4.08,Decrease
4249447,4074035,3.44,3.44,3.44,Increase
4249447,4298794,4.0,4.0,4.0,Increase
4249447,4306655,4.43,4.43,4.43,Increase
4249447,4310996,10.91,2.7275,8.91,Increase
4249447,440383,9.45,4.725,9.45,Increase
4251306,15,0.51,0.51,0.51,Increase
4251306,316866,2.58,2.58,2.58,Increase
4251306,4074035,1.11,1.11,1.11,Increase
4251306,4298794,3.79,1.895,3.79,Increase
4251306,4306703,1.11,1.11,1.11,Increase
4251306,4310996,3.6900000000000004,1.8450000000000002,3.6900000000000004,Increase
4251306,4329847,2.58,2.58,2.58,Increase
42538532,4310996,5.1,5.1,5.1,Increase
42538946,201820,4.08,4.08,4.08,Increase
42538946,316866,4.08,4.08,4.08,Increase
42538946,4310996,8.16,4.08,8.16,Increase
4268546,4310996,1.0,1.0,1.0,Decrease
4273629,4310996,10.4,5.2,10.4,Increase
4275208,40479589,6.0,6.0,6.0,Increase
4275208,44784217,3.76,3.76,3.76,Increase
4276568,318736,6.84,6.84,6.84,Increase
4276568,37311061,3.37,3.37,3.37,Decrease
4283095,4306703,3.07,3.07,3.07,Decrease
4283239,4310996,10.4,5.2,10.4,Decrease
4283239,4338810,6.84,6.84,6.84,Increase
42872750,3654822,11.1,5.55,11.1,Increase
42872750,37110522,6.0,6.0,6.0,Increase
42872750,4126495,6.0,6.0,6.0,Decrease
